IND	POP	CLUSTER	norm	norm_east	norm_west
CA115001	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA115002	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA115003	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA115004	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118004	Northland	East	TRUE	TRUE	FALSE
CA118012	Northland	East	TRUE	TRUE	FALSE
CA118013	Northland	East	TRUE	TRUE	FALSE
CA118017	Northland	East	TRUE	TRUE	FALSE
CA118018	Northland	East	TRUE	TRUE	FALSE
CA118020	Northland	East	TRUE	TRUE	FALSE
CA118141	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118142	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118143	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118144	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118145	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118146	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118148	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118149	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118150	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118151	Northland	East	TRUE	TRUE	FALSE
CA118152	Northland	East	TRUE	TRUE	FALSE
CA118153	Northland	East	TRUE	TRUE	FALSE
CA118154	Northland	East	TRUE	TRUE	FALSE
CA118155	Northland	East	TRUE	TRUE	FALSE
CA118160	Northland	East	TRUE	TRUE	FALSE
CA118161	Northland	East	TRUE	TRUE	FALSE
CA118162	Northland	East	TRUE	TRUE	FALSE
CA118163	Northland	East	TRUE	TRUE	FALSE
CA118165	Northland	East	TRUE	TRUE	FALSE
CA118166	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118167	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118168	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118169	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118170	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118171	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118172	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118174	Bay of Plenty	East	TRUE	TRUE	FALSE
